min_samples_leaf,max_iter,max_depth,max_bins,learning_rate,l2_regularization,rmse,r2
200,200,,128,0.10278085328021955,0.004641588833612782,0.17890597387768695,0.301049819460925
200,800,5.0,128,0.14337423288737733,0.004641588833612782,0.17898991618593943,0.3003937736676354
20,800,7.0,255,0.07368062997280773,0.00035938136638046257,0.17906859849032353,0.2997785576798734
10,1200,9.0,255,0.013949507939624208,0.7742636826811278,0.17907732648247043,0.2997102969547397
50,1200,7.0,255,0.03786479009414649,0.21544346900318845,0.17919072603170805,0.29882310836468273
20,800,9.0,128,0.14337423288737733,0.001291549665014884,0.17919992594045164,0.29875110766291957
10,400,,128,0.052819519005050046,0.0001,0.17924665374745516,0.2983853475213806
200,1200,3.0,64,0.14337423288737733,10.0,0.17930206748895053,0.29795147495678365
100,1200,5.0,128,0.2,0.001291549665014884,0.179679955449646,0.29498915275899273
50,400,,64,0.14337423288737733,10.0,0.17977784987234752,0.294220726133276
200,1200,5.0,255,0.2,0.21544346900318845,0.1799944611823165,0.29251893835124987
50,400,7.0,128,0.10278085328021955,0.7742636826811278,0.18020717026018937,0.2908458139351524
100,800,7.0,64,0.03786479009414649,0.004641588833612782,0.18034084658260255,0.28979333324443957
100,1200,7.0,128,0.052819519005050046,2.782559402207126,0.1805731771982318,0.28796225569744427
200,1200,7.0,64,0.10278085328021955,0.05994842503189409,0.1807088787980311,0.2868916540780363
50,1200,7.0,128,0.14337423288737733,2.782559402207126,0.18087930677452074,0.2855459435310074
200,800,7.0,255,0.14337423288737733,0.7742636826811278,0.18088066224050955,0.28553523559741434
100,800,,128,0.052819519005050046,10.0,0.18093908086776142,0.28507366286473956
20,1200,3.0,255,0.07368062997280773,0.004641588833612782,0.18096333352747887,0.28488199584482
10,800,,255,0.10278085328021955,0.00035938136638046257,0.18111553677965994,0.2836785580395915
50,400,5.0,128,0.10278085328021955,0.21544346900318845,0.18112244796454208,0.2836238887995697
50,400,5.0,64,0.10278085328021955,10.0,0.18114560475985614,0.28344069742130695
100,800,7.0,255,0.14337423288737733,0.004641588833612782,0.18117387713858202,0.2832170053591979
20,800,3.0,255,0.10278085328021955,0.00035938136638046257,0.18171811891229306,0.2789041410024071
100,800,5.0,64,0.14337423288737733,0.001291549665014884,0.18190046641349886,0.27745622814123583
100,800,5.0,64,0.14337423288737733,0.0001,0.18222859724524576,0.2748470789046896
50,400,9.0,255,0.2,2.782559402207126,0.18234295728608055,0.2739366341075181
200,1200,5.0,128,0.07368062997280773,2.782559402207126,0.18244250018260982,0.2731436868035605
20,800,7.0,64,0.07368062997280773,2.782559402207126,0.18267409468079415,0.27129715689231737
10,800,3.0,255,0.2,10.0,0.1830482871592003,0.2683087266022035
20,400,5.0,128,0.10278085328021955,0.001291549665014884,0.18336591115721157,0.2657672732744153
20,800,7.0,64,0.052819519005050046,2.782559402207126,0.18364569542294032,0.26352494278173566
50,400,7.0,64,0.2,0.0001,0.1836676376241089,0.2633489424760954
10,1200,7.0,64,0.052819519005050046,0.004641588833612782,0.18378185753688905,0.2624324349917645
50,800,3.0,255,0.2,0.05994842503189409,0.184046103819489,0.26030992294860633
10,1200,9.0,255,0.14337423288737733,0.00035938136638046257,0.18442139643315264,0.2572902094417461
20,400,9.0,255,0.14337423288737733,0.001291549665014884,0.1846158675618492,0.2557230185707119
50,800,3.0,255,0.14337423288737733,0.0001,0.18477569173369623,0.25443380173936503
10,800,7.0,64,0.07368062997280773,0.05994842503189409,0.1860115747124026,0.24442692158126467
